tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-latest-date-born,animal-life-stage,animal-mass,animal-nickname,animal-ring-id,animal-sex,animal-taxon-detail,attachment-type,deploy-off-person,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-beacon-frequency,tag-comments,tag-manufacturer-name,tag-mass,tag-model,tag-production-date,tag-readout-method,tag-serial-no
2021,Pieps + / DER AL586 (KN2021),Ciconia ciconia,2013-06-24 00:00:00.000,2013-08-28 00:00:00.000,"2 nestlings in nest, other nestling not tagged. Billtip to skull = 138 mm. Nest: ""Tanne ev. Kirche"".","Found dead in corn field under powerline pole (but a bird protected one, probably not reason of death) 2013-08-28 by local stork specialist Gustav Bickel.",,2013-05-06 00:00:00.000,nestling,,,DER AL586,m,,harness,,Wolfgang Fiedler,,,dead,KN2021 on Pieps / DER AL586,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",,,e-obs GmbH,55.0,Solar GSM,,phone-network,2021
2666,Yolo + / DER AN861 (eobs2666),Ciconia ciconia,2013-06-24 00:00:00.000,2014-12-25 00:00:00.000,"Nestling from same nest as AN862, AN863. All 3 nestlings tagged. AN861 is first born chick.  Billtip to skull = 144 mm. Nest: ""Boehringen, Birke Karrer Strasse 3""","Yolo was shot near Falou, Region Koulikoro in Mali on 2014-12-14",,2013-05-13 00:00:00.000,nestling,,,DER AN861,m,,harness,,Wolfgang Fiedler,,,dead,2666 on DER AN861,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867249.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,2666
2024,Keks + / DER AN860 (KN2024),Ciconia ciconia,2013-06-24 00:00:00.000,2013-08-24 00:00:00.000,"Single nestling alive in this nest. Billtip to skull = 123 mm. Nest: ""Boehringen, Birke Karrer Strasse 4"".","Probably dead. Last signal recieved from Gibraltar, Spain on 2013-08-22.",,2013-05-16 00:00:00.000,nestling,,,DER AN860,f,,harness,,Wolfgang Fiedler,,,dead,KN2024@AN860,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",,,e-obs GmbH,55.0,Solar GSM,,phone-network,2024
2668,Coco + / DER AN862 (eobs2668),Ciconia ciconia,2013-06-24 00:00:00.000,2014-01-26 00:00:00.000,"Nestling from same nest as AN861, AN863. All 3 nestlings tagged. AN862 is last born chick. Billtip to skull = 132 mm. Nest: ""Boehringen, Birke Karrer Strasse 3""","Last position in the Niger area east of Mopti, Mali. Seemingly dead since 2014-01-23.",,2013-05-13 00:00:00.000,nestling,,,DER AN862,f,,harness,,Wolfgang Fiedler,,,dead,2668 on DER AN862,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867399.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,2668
2541,Zozu / DER AL581 (eobs2541),Ciconia ciconia,2013-06-24 00:00:00.000,,"same nest as AL582, AL583, AL585. All 4 nestlings tagged. AL581 is second born chick. Billtip to skull = 118 mm. Nest: ""Boehringen, Birke Karrer vorne""",,,2013-05-06 00:00:00.000,nestling,,Zozu AL581 2541,DER AL581,f,,harness,,Wolfgang Fiedler,,Last read out 2016-08-19,,2541 on DER AL581,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867099.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,2541
2561,Sierit  / DER AN858 (eobs2561),Ciconia ciconia,2013-06-24 00:00:00.000,,"Same Nest as AN859. All 2 nestlings tagged. AN858 is first born chick. Billtip to skull = 111 mm. Nest: ""Boehringen, Birke ev. Kirche""",,,2013-05-20 00:00:00.000,nestling,,Sierit AN858 2561,DER AN858,m,,harness,,Wolfgang Fiedler,,Last read out 2016-08-19,,2561 on DER AN858,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867299.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,2561
3040,Willi + / DER AN863 (eobs3040),Ciconia ciconia,2013-06-24 00:00:00.000,2013-08-09 00:00:00.000,"Nestling from same nest as AN861, AN862. All 3 nestlings tagged. AN863 is second born chick. Billtip to skull = 142 mm. Nest: ""Boehringen, Birke Karrer Stra?e 3""",Found seriously injured (bites); euthanized 09 Aug 2013,,2013-05-13 00:00:00.000,nestling,,,DER AN863,m,,harness,,Wolfgang Fiedler,,Bird euthanized because of heavy insuries (bites),,3040 on DER AN863,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867449.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,3040
3041,Kakau + / DER AN864 (eobs3041),Ciconia ciconia,2013-06-24 00:00:00.000,2013-12-22 00:00:00.000,"2 nestlings alive in this nest. other nestling not tagged. AN864 is first born chick. Billtip to skull = 104 mm. Nest: ""Boehringen, L?rche Brunner""","Died near Rumilly, France on 2013-12-14.",,2013-05-20 00:00:00.000,nestling,,,DER AN864,m,,harness,,Wolfgang Fiedler,,,dead,3041 on DER AN864,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867149.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,3041
3026,Cherry + / DER AN859 (eobs3026),Ciconia ciconia,2013-06-24 00:00:00.000,2013-09-03 00:00:00.000,"Same Nest as AN858. All 2 nestlings tagged. AN859 is second born chick. Billtip to skull = 105 mm. Nest: ""Boehringen, Birke ev. Kirche"".","Died near Tierzo, Spain on 2013-08-27.",,2013-05-20 00:00:00.000,nestling,,,DER AN859,f,,harness,,Wolfgang Fiedler,,,dead,3026 on DER AN859,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867499.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,3026
3031,Karamell + / DER AL582 (eobs3031),Ciconia ciconia,2013-06-24 00:00:00.000,2014-06-25 21:00:00.000,"Same nest as AL581, AL583, AL585. All 4 nestlings tagged. AL582 is third born chick. Billtip to skull = 117 mm. Nest: ""Boehringen, Birke Karrer vorne""","Died in Elsass, France on 2014-06-24.",,2013-05-06 00:00:00.000,nestling,,,DER AL582,f,,harness,,Wolfgang Fiedler,,,dead,3031 on DER AL582,GPS and ACC switched off 20:00 to 02:00 GPS time,none,"Radolfzell-Boehringen, SW Germany",867549.0,,e-obs GmbH,55.0,Solar GSM,,phone-network,3031
