route_id,bird_id,display_name,season,destination,min_lat,max_lat,min_lon,max_lon,n_days,first_date,last_date,mean_speed,route_score
Coco · 2013,Coco + / DER AN862 (eobs2668),Coco,2013,Africa crossing,14.3578038,47.82189975,-7.553208,9.3245009,116,2013-07-01,2014-01-24,0.27842105263157896,296.5927676
Eamy · 2013,Eamy + / DER AL585 (eobs3063),Eamy,2013,Africa crossing,34.2704906,47.772665849999996,-6.58143615,9.2450752,274,2013-07-01,2014-03-31,0.36052919708029196,165.33740199999994
Karamell · 2013,Karamell + / DER AL582 (eobs3031),Karamell,2013,Africa crossing,34.2700521,47.77185475,-6.581016699999999,9.244818,274,2013-07-01,2014-03-31,0.32277372262773724,165.3344212
Sierit · 2013,Sierit  / DER AN858 (eobs2561),Sierit,2013,Africa crossing,33.8592547,47.7515108,-6.8304454,8.9315172,271,2013-07-01,2014-03-31,0.27545362903225806,167.91804879999998
Yolo · 2013,Yolo + / DER AN861 (eobs2666),Yolo,2013,Africa crossing,13.575745300000001,47.804306,-16.4328292,8.96044225,274,2013-07-01,2014-03-31,0.5380839416058394,331.14848559999996
Zozu · 2013,Zozu + / DER AL581 (eobs2541),Zozu,2013,Africa crossing,34.2713528,47.751631849999995,-6.58492705,8.93253755,274,2013-07-01,2014-03-31,0.29072992700729927,165.16223239999994
Cookie · 2014,Cookie + / DER AU008 (eobs 3930),Cookie,2014,Africa crossing,14.6097897,47.7579439,-7.2560912,8.9457375,119,2014-07-01,2014-10-31,1.6651260504201681,294.6052336
Ekky · 2014,Ekky + / DER AU007 (eobs 3929),Ekky,2014,Africa crossing,11.4471709,47.81669325,-7.8294491,8.95114675,212,2014-07-01,2015-01-28,1.0915801886792453,337.11617879999994
Ella · 2014,Ella + / DER AU051 (eobs 3338),Ella,2014,Africa crossing,31.0993932,47.7518629,-8.26731845,8.9431736,83,2014-07-01,2014-09-21,0.879736842105263,156.15975759999998
Fifi · 2014,Fifi + / DER AN909 (eobs 3906),Fifi,2014,Africa crossing,33.8526262,47.7592134,-6.0381799,8.94602225,274,2014-07-01,2015-03-31,0.6958029197080293,168.57269759999997
Frank Elstner · 2014,Frank Elstner + / DER AN911 (eobs 3908),Frank Elstner,2014,Africa crossing,16.1082443,47.8162041,-9.4442285,8.952016700000001,80,2014-07-01,2014-10-07,3.105820895522388,276.0636784
Kiki · 2014,Kiki + / DER AN872 (eobs 3648),Kiki,2014,Africa crossing,31.70246865,47.8264623,-8.8508712,8.965137850000001,131,2014-07-01,2015-03-04,1.1109999999999998,160.5719492
Kristall · 2014,Kristall + / DER AU006 (eobs 3928),Kristall,2014,Africa crossing,13.9700919,47.78420575,-8.583343,8.9780297,176,2014-07-01,2014-12-23,1.2633238636363637,310.1929108
Lewis · 2014,Lewis + / DER AU015 (eobs 3939),Lewis,2014,Africa crossing,14.6545655,47.8188171,-8.1138794,8.9428023,117,2014-07-01,2014-10-25,2.0409401709401713,294.3740128
Niclas · 2014,Niclas / DER AU053 (eobs 3341),Niclas,2014,Africa crossing,34.4673558,47.7505517,-6.3565788,8.943908100000002,274,2014-07-01,2015-03-31,0.3734306569343066,163.5855672
Pjotre · 2014,Pjotre + / DER AU003 (eobs 3925),Pjotre,2014,Africa crossing,34.5018241,47.8190155,-6.306793949999999,8.945411400000001,105,2014-07-01,2014-10-13,2.0907692307692307,133.4375312
Sara · 2014,Sara + / DER AU017 (eobs 3941),Sara,2014,Africa crossing,30.694237649999998,47.8203952,-8.38735535,8.9432763,271,2014-07-01,2015-03-31,0.7651476014760148,193.78926040000002
Schwitza · 2014,Schwitza + / DER AN920 (eobs 3919),Schwitza,2014,Africa crossing,16.0721077,47.8253814,-11.4588614,8.932489700000001,91,2014-07-01,2014-09-30,1.67010989010989,278.4061896
Tobi · 2014,Tobi + / DER AU052 (eobs 3340),Tobi,2014,Africa crossing,33.871612299999995,47.773210649999996,-6.829935750000001,8.945595950000001,265,2014-07-01,2015-03-22,0.6556249999999999,166.9127868
Redrunner · 2016,Redrunner + / DER AU057 (eobs 3339),Redrunner,2016,Africa crossing,33.8853983,50.78815735,-6.1989701,9.0597552,274,2016-07-01,2017-03-31,0.3285401459854015,192.5420724
Amadeus · 2017,Amadeus + / DER AY620 (eobs 5703),Amadeus,2017,Africa crossing,15.0603722,48.43281795,-8.64170205,7.85894875,127,2017-07-01,2017-11-04,0.7999606299212597,297.839566
Europa · 2017,Europa / DER A1A26 (eobs 4004),Europa,2017,Africa crossing,24.704545,47.693235599999994,-12.8394125,7.6412776,274,2017-07-01,2018-03-31,0.23768248175182483,241.22952479999995
Linus-B · 2018,Linus-B + / DER A2L70 (eobs 6594),Linus-B,2018,Africa crossing,30.3440363,47.997747649999994,-9.5427107,8.5839485,83,2018-07-11,2018-10-01,0.8836144578313253,164.16969079999996
Mirabell · 2018,Mirabell + / DER AN910 (eobs 3907),Mirabell,2018,Africa crossing,34.2594394,48.145378,-6.3140834,8.9207609,269,2018-07-01,2019-03-31,0.27003717472118965,167.50750880000004
Wendelin · 2018,Wendelin + / DER A1N96 (eobs 6583),Wendelin,2018,Africa crossing,34.5876964,48.04801225,-6.0289484,8.8743509,77,2018-07-01,2018-09-15,0.7941558441558442,129.54252680000002
Cherry · 2013,Cherry + / DER AN859 (eobs3026),Cherry,2013,Spain / short-stopper,40.70150735,47.7514886,-1.93678925,8.9317991,64,2013-07-01,2013-09-02,0.40593750000000006,67.91985000000001
Keks · 2013,Keks + / DER AN860 (KN2024),Keks,2013,Spain / short-stopper,36.22176667,47.930158335,-6.048533335,8.93366667,52,2013-07-01,2013-08-22,0.9326923076923077,103.02713332
Balou · 2014,Balou + / DER AN916 (eobs 3913),Balou,2014,Spain / short-stopper,40.15867325,47.774307750000006,-1.93098445,8.9454705,100,2014-07-01,2014-10-08,1.20445,78.92507600000005
Betty · 2014,Betty + / DER AU059 (eobs 3342),Betty,2014,Spain / short-stopper,41.5379749,47.7576005,0.6129216,8.929451,100,2014-07-01,2014-10-08,0.29645000000000005,67.7570048
Blacky · 2014,Blacky + / DER AU078 (eobs 2647),Blacky,2014,Spain / short-stopper,36.2161203,47.8248967,-5.8709597,8.946064,107,2014-07-03,2014-10-17,0.5891588785046729,112.13021119999996
Bubbel · 2014,Bubbel + / DER AN873 (eobs 3666),Bubbel,2014,Spain / short-stopper,36.2098077,47.8242761,-6.1238919,8.9956085,205,2014-07-01,2015-01-21,0.9465365853658536,129.8157472
Chompy · 2014,Chompy + / DER AN871 (eobs3647),Chompy,2014,Spain / short-stopper,36.4127012,47.8254873,-6.2424848,8.9979381,274,2014-07-01,2015-03-31,0.5883394160583942,140.62228879999998
Conchito · 2014,Conchito + / DER AU005 (eobs 3927),Conchito,2014,Spain / short-stopper,36.2109818,47.8096962,-6.3312431,8.9623083,269,2014-07-01,2015-03-31,0.7427137546468402,141.2097152
